"Condition"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"
"28"	"Incorrect"	2.37615060690943	2.89840298786181	4.77144855275444	5.58296610644258	5.98359719887955	2.06036199813259	2.87129570494865	3.56474257703081	3.48062399626517	4.09954537815126	3.43731839402428	4.68168823529412	3.8531954248366	5.18330737628385	4.19339402427638	2.72473622782446	3.48830494864613	4.78688916900093	3.83763996265173	5.60152287581699	5.44404556489262	32
"29"	"Correct"	12.1968399610136	17.0304179910561	19.6653429652563	20.548592122463	19.0931051828919	11.4771119137714	11.7946139433551	14.9343890150212	14.1844663685357	18.1611747850017	16.3649857011811	18.7269390207545	17.2009203875702	18.1145321981424	16.0391461529641	12.1199774337805	12.2438016397202	18.2650326109391	17.733195252838	16.5834942323128	16.407777663112	35
"30"	"Incorrect"	3.44154201680672	6.56090616246499	8.04765266106443	10.2369106442577	10.3438067226891	3.92951358543417	4.91550308123249	6.40232731092437	9.45337661064426	8.38171722689076	10.3012890756303	9.70723711484594	11.6197668067227	10.7429908963585	11.117137254902	5.90807857142857	6.25114719887955	8.09157885154062	9.60390406162465	10.0475831932773	10.8680953781513	35
"31"	"Correct"	4.79445998734978	9.55999598987982	14.409804743833	17.1331670461733	16.6327123719165	6.22021634408602	4.31712853889943	9.08726914611006	8.33112896900696	13.0153414547755	12.6543262112587	14.5042978368121	14.1740832511069	14.0582541049968	13.9640442125237	5.3832944971537	5.33106824794434	14.2417098924731	13.228014459203	14.4660058823529	14.0577072106262	36
"32"	"Incorrect"	-2.7008358974359	1.49256229260935	4.75520874811463	7.67809713423831	7.33031342383107	-0.726136500754148	-1.92735490196078	1.03360045248869	1.9246209653092	5.2156173453997	4.61076968325792	6.16822775263952	6.42650331825038	5.87923755656109	5.64628959276018	-0.766381749622926	-1.65259230769231	3.9654604826546	2.50927873303167	4.80219049773756	5.39107360482655	36
"33"	"Correct"	0.699147133418585	3.25287887894288	5.21756276641091	6.2484706202046	5.68027453111679	0.848801502557545	1.83041401321398	2.38922053495311	2.97825174765558	3.36706303282182	5.48405028772379	4.3500839940324	6.12139678175618	4.46424793265132	6.15443796888321	0.51142897485081	0.859037329497016	4.12650110826939	4.69137155797101	4.36079505541347	4.87240463554987	37
"34"	"Incorrect"	-2.18573019607843	0.749693333333333	3.37181019607843	6.63525980392157	6.94753392156863	-0.758983529411765	0.560756666666667	-0.0758417647058823	2.21317274509804	2.21001666666667	4.95944666666667	4.13493666666667	6.51635352941176	5.55364960784314	7.82640333333333	0.430721764705882	0.909227843137255	4.3273037254902	5.40270254901961	7.31161784313726	8.02797588235294	37
"35"	"Correct"	-2.41215254461335	0.0964669530733641	1.50139156201807	3.56622106190791	4.72124053756334	-1.8761571491518	-1.491243842256	0.179195373430271	-0.298315708305794	2.2908497907028	2.17753209958141	3.48834802820004	3.84901006829698	4.94464811632518	5.24999142983036	-3.03026259087905	-3.68149312623926	1.00239517514871	0.90001568627451	4.52315994712492	4.34272152456488	39
"36"	"Incorrect"	-1.48473930905696	-0.162189803921569	1.1409499719888	2.71634733893557	3.66330700280112	-1.70210052287582	-1.31849172735761	0.284407189542484	-0.271163436041083	1.35679234360411	1.33704618113912	2.85788145658263	2.90436069094304	3.98363157796452	3.76040595704949	-3.04338685340803	-3.06753915966387	0.737542054154995	0.636754603174603	3.10178435107376	3.13734379084967	39
"37"	"Correct"	9.34719296266452	11.756371837228	12.7517641418211	13.0723134971797	11.5151884367446	8.8905515444534	9.40870099382219	11.475129102874	12.024089524577	12.5958116169756	13.0772002417405	11.7252729384905	12.7268348374966	9.98018231265109	10.9951003894709	7.39470122213269	7.81062618855761	11.1396211522965	11.9916442788074	9.00965494225087	10.0738697824335	40
