"Subject"	"Electrode"	"Race"	"MeanAmp"
21	"CP4"	"White"	-0.263114727223864
21	"CPZ"	"Black"	0.293456857923494
21	"CPZ"	"White"	-0.083629669443697
21	"CZ"	"Black"	1.02863453551913
21	"CZ"	"White"	-0.237944396667562
21	"PZ"	"Black"	-0.741185409836065
21	"PZ"	"White"	-1.31205511959151
22	"C3"	"Black"	1.18550112504018
22	"C3"	"White"	2.82913897996357
22	"C4"	"Black"	1.33338588878174
22	"C4"	"White"	4.18449811778992
22	"CP3"	"Black"	0.497335133397624
22	"CP3"	"White"	2.76794174256223
22	"CP4"	"Black"	1.59316788813886
22	"CP4"	"White"	4.49435670916819
22	"CPZ"	"Black"	0.905542140790745
22	"CPZ"	"White"	4.2828920461445
22	"CZ"	"Black"	1.07899932497589
22	"CZ"	"White"	4.00921171827565
22	"PZ"	"Black"	1.32944773384764
22	"PZ"	"White"	4.57675094110504
23	"C3"	"Black"	12.0704426794799
23	"C3"	"White"	7.47152932310947
23	"C4"	"Black"	10.4096725833804
23	"C4"	"White"	5.86322792173453
23	"CP3"	"Black"	9.44144657998869
23	"CP3"	"White"	7.20214061343204
23	"CP4"	"Black"	8.11949918032787
23	"CP4"	"White"	5.32231930195664
23	"CPZ"	"Black"	12.0126120124364
23	"CPZ"	"White"	8.02291023268112
23	"CZ"	"Black"	14.4257521198417
23	"CZ"	"White"	8.21285930724484
23	"PZ"	"Black"	8.97889522328999
23	"PZ"	"White"	7.55758294553147
24	"C3"	"Black"	6.41791948998179
24	"C3"	"White"	5.38164259562842
24	"C4"	"Black"	5.0792504553734
24	"C4"	"White"	4.16411024590164
24	"CP3"	"Black"	6.42359711163154
24	"CP3"	"White"	5.34435762295082
24	"CP4"	"Black"	4.76517580015613
24	"CP4"	"White"	3.8504306284153
24	"CPZ"	"Black"	6.48915391621129
24	"CPZ"	"White"	5.56884013661202
24	"CZ"	"Black"	6.43093374967473
24	"CZ"	"White"	5.0148087431694
24	"PZ"	"Black"	5.57409968774395
24	"PZ"	"White"	4.79500243169399
25	"C3"	"Black"	0.416359102674719
25	"C3"	"White"	-2.01622350702576
25	"C4"	"Black"	0.698082341098649
25	"C4"	"White"	-2.55646850117096
25	"CP3"	"Black"	0.608099453551909
25	"CP3"	"White"	-1.19865974824356
25	"CP4"	"Black"	0.434267673281565
25	"CP4"	"White"	-1.49072005269321
25	"CPZ"	"Black"	-0.26671006614898
25	"CPZ"	"White"	-2.31560550351288
25	"CZ"	"Black"	-0.0336945067587006
25	"CZ"	"White"	-2.56831024590164
25	"PZ"	"Black"	0.704068248490078
25	"PZ"	"White"	-1.19433594847775
26	"C3"	"Black"	-0.863997745901639
26	"C3"	"White"	-1.62253198065036
26	"C4"	"Black"	-1.28754569672131
26	"C4"	"White"	-2.70282241332975
26	"CP3"	"Black"	-0.774325380562063
26	"CP3"	"White"	-1.40150325181403
26	"CP4"	"Black"	-1.77850652810304
26	"CP4"	"White"	-2.55040303681806
26	"CPZ"	"Black"	-1.70598208430914
26	"CPZ"	"White"	-2.48779360386993
26	"CZ"	"Black"	-1.13257201405152
26	"CZ"	"White"	-1.7886192958882
26	"PZ"	"Black"	-1.94158668032787
26	"PZ"	"White"	-2.17284944907283
27	"C3"	"Black"	5.85241577868853
27	"C3"	"White"	2.59850901639345
27	"C4"	"Black"	5.87009266393443
27	"C4"	"White"	4.4913097497843
27	"CP3"	"Black"	4.57045053278689
27	"CP3"	"White"	1.23118947368421
27	"CP4"	"Black"	5.46512860655738
27	"CP4"	"White"	3.11334512510785
27	"CPZ"	"Black"	7.38284602459016
27	"CPZ"	"White"	4.09037532355479
27	"CZ"	"Black"	7.67809077868853
27	"CZ"	"White"	5.32735793787748
27	"PZ"	"Black"	5.83205356557377
27	"PZ"	"White"	2.33356100086281
28	"C3"	"Black"	6.53669235898861
28	"C3"	"White"	2.77749486338798
28	"C4"	"Black"	7.42060419560989
28	"C4"	"White"	4.09013912568306
28	"CP3"	"Black"	5.59061294804112
28	"CP3"	"White"	2.42034005464481
28	"CP4"	"Black"	8.2180041678244
28	"CP4"	"White"	4.48723825136612
28	"CPZ"	"Black"	8.13517616004446
28	"CPZ"	"White"	3.82199680327869
28	"CZ"	"Black"	7.96425232008892
28	"CZ"	"White"	3.74779715846994
28	"PZ"	"Black"	7.19268924701306
28	"PZ"	"White"	3.61526122950819
29	"C3"	"Black"	-2.52505279819107
29	"C3"	"White"	-0.820905064402809
29	"C4"	"Black"	-3.07309299039005
29	"C4"	"White"	-2.1246168911007
29	"CP3"	"Black"	-2.70774966082532
29	"CP3"	"White"	-0.618959543325527
29	"CP4"	"Black"	-3.81398233465235
29	"CP4"	"White"	-1.28415570843092
29	"CPZ"	"Black"	-3.80620073487846
29	"CPZ"	"White"	0.0188187353629991
29	"CZ"	"Black"	-3.25147133973996
29	"CZ"	"White"	-0.728383899297425
29	"PZ"	"Black"	-3.47947450537027
29	"PZ"	"White"	1.03705222482436
30	"C3"	"Black"	7.86225446853517
30	"C3"	"White"	7.39040248545743
30	"C4"	"Black"	8.17575682178741
30	"C4"	"White"	8.09019169751455
30	"CP3"	"Black"	5.69440428344791
30	"CP3"	"White"	5.7224980433633
30	"CP4"	"Black"	7.34868331570598
30	"CP4"	"White"	7.29218751983078
30	"CPZ"	"Black"	8.4171868852459
30	"CPZ"	"White"	8.26305230037017
30	"CZ"	"Black"	9.20347379693284
30	"CZ"	"White"	8.61889481755685
30	"PZ"	"Black"	6.54060568482284
30	"PZ"	"White"	6.85180105764146
31	"C3"	"Black"	5.84214680063458
31	"C3"	"White"	5.68046396174863
31	"C4"	"Black"	5.97098265468007
31	"C4"	"White"	6.15483557377049
31	"CP3"	"Black"	5.59814365415124
31	"CP3"	"White"	4.91148732240437
31	"CP4"	"Black"	5.33900708619778
31	"CP4"	"White"	5.63845631147541
31	"CPZ"	"Black"	6.88091528291909
31	"CPZ"	"White"	6.07224349726776
31	"CZ"	"Black"	7.5205251454257
31	"CZ"	"White"	7.13806972677595
31	"PZ"	"Black"	4.48450584346906
31	"PZ"	"White"	3.86446292349727
32	"C3"	"Black"	0.0275170374707284
32	"C3"	"White"	0.699591920374705
32	"C4"	"Black"	-1.4783868852459
32	"C4"	"White"	1.08245409836065
32	"CP3"	"Black"	-1.92728834894614
32	"CP3"	"White"	0.650061124121784
32	"CP4"	"Black"	-1.23742710772834
32	"CP4"	"White"	0.890530386416861
32	"CPZ"	"Black"	-2.09837874707261
32	"CPZ"	"White"	1.85073559718969
32	"CZ"	"Black"	-1.51081680327869
32	"CZ"	"White"	2.45952277517565
32	"PZ"	"Black"	-1.89161668618267
32	"PZ"	"White"	1.27270725995316
33	"C3"	"Black"	7.97372193176783
33	"C3"	"White"	6.32410426229508
33	"C4"	"Black"	6.92834102791316
33	"C4"	"White"	4.33966135245902
33	"CP3"	"Black"	6.36225897208684
33	"CP3"	"White"	5.24479532786885
33	"CP4"	"Black"	7.33379162605228
33	"CP4"	"White"	5.21005754098361
33	"CPZ"	"Black"	9.51713610988038
33	"CPZ"	"White"	7.50962532786885
33	"CZ"	"Black"	9.78463504652193
33	"CZ"	"White"	7.07577
33	"PZ"	"Black"	8.43903602126717
33	"PZ"	"White"	7.04914733606558
34	"C3"	"Black"	1.23796333830104
34	"C3"	"White"	-3.52830170491803
34	"C4"	"Black"	2.7844174366617
34	"C4"	"White"	-2.19769072131148
34	"CP3"	"Black"	1.87245421013413
34	"CP3"	"White"	-2.28276980327869
34	"CP4"	"Black"	3.36694020119225
34	"CP4"	"White"	-1.44936980327868
34	"CPZ"	"Black"	3.66192108792847
34	"CPZ"	"White"	-0.662251475409839
34	"CZ"	"Black"	2.97727671385991
34	"CZ"	"White"	-2.41137881967214
34	"PZ"	"Black"	3.60332552160954
34	"PZ"	"White"	0.253530950819673
35	"C3"	"Black"	-1.91531870781099
35	"C3"	"White"	-0.786512148711944
35	"C4"	"Black"	-1.71008412086146
35	"C4"	"White"	-1.12018916861827
35	"CP3"	"Black"	-1.92006702025072
35	"CP3"	"White"	-0.662050468384073
35	"CP4"	"Black"	-1.71046027000964
35	"CP4"	"White"	-0.95543755854801
35	"CPZ"	"Black"	-1.80579485695918
35	"CPZ"	"White"	0.189514959016395
35	"CZ"	"Black"	-2.05305975570556
35	"CZ"	"White"	-0.498430737704918
35	"PZ"	"Black"	-0.851209611057539
35	"PZ"	"White"	0.673647511709602
36	"C3"	"Black"	4.15800529427573
36	"C3"	"White"	3.33112552289429
36	"C4"	"Black"	1.00987664606289
36	"C4"	"White"	0.529064301865459
36	"CP3"	"Black"	5.77859787691481
36	"CP3"	"White"	4.79544358394573
36	"CP4"	"Black"	3.90612176834185
36	"CP4"	"White"	2.75708728094969
36	"CPZ"	"Black"	6.09548175221715
36	"CPZ"	"White"	3.71539821933296
36	"CZ"	"Black"	4.42075799516259
36	"CZ"	"White"	2.09072962125495
36	"PZ"	"Black"	6.85460319806504
36	"PZ"	"White"	4.57792504239684
37	"C3"	"Black"	5.16332633700618
37	"C3"	"White"	4.05159631819403
37	"C4"	"Black"	3.82970940607364
37	"C4"	"White"	3.00644380542865
37	"CP3"	"Black"	3.36022577264177
37	"CP3"	"White"	2.64138527277614
37	"CP4"	"Black"	2.94866122010212
37	"CP4"	"White"	2.30718196721312
37	"CPZ"	"Black"	5.38615952700887
37	"CPZ"	"White"	3.6715613544746
37	"CZ"	"Black"	6.43347532921258
37	"CZ"	"White"	4.17311647406611
37	"PZ"	"Black"	2.83133477559796
37	"PZ"	"White"	2.56858075786079
38	"C3"	"Black"	7.23698511979823
38	"C3"	"White"	9.01534793442623
38	"C4"	"Black"	6.78953540353089
38	"C4"	"White"	8.68411140983607
38	"CP3"	"Black"	6.48675576923077
38	"CP3"	"White"	8.88629734426229
38	"CP4"	"Black"	7.23608587641866
38	"CP4"	"White"	9.99171980327869
38	"CPZ"	"Black"	7.61934977931904
38	"CPZ"	"White"	10.6482470163934
38	"CZ"	"Black"	7.79920854350567
38	"CZ"	"White"	9.63709570491804
